id,name,category,storageForm,description,moisturePerc,dryMatterPerc,ashPerc,metabolizableEnergyKcal,crudeProteinPerc,crudeFatPerc,crudeFiberPerc,calciumPerc,totalPhosphorusPerc,availablePhosphorusPerc,sodiumPerc,chloridePerc,saltPerc,lysinePerc,methioninePerc,cystinePerc,taurinePerc
ing_00001,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167512),35.5,64.5,3.5,3070.0,5.88,13.24,1.2,0.0,0.0,0.0,1.059,1.5885,2.6475,0.0,0.0,0.0,0.0
ing_00002,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167513),27.86,72.14,3.08,3300.0,4.34,11.27,1.4,0.028,0.0,0.0,0.78,1.17,1.95,0.0,0.0,0.0,0.0
ing_00003,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",grain,dry,USDA SR Legacy Profile (FDC ID: 167514),3.2,96.8,7.2,3770.0,6.1,3.7,0.0,0.0,0.0,0.0,2.182,3.273,5.455,0.0,0.0,0.0,0.0
ing_00004,"George Weston Bakeries, Thomas English Muffins",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167515),42.6,57.4,1.6,2320.0,8.0,1.8,0.0,0.18,0.0,0.0,0.345,0.5175,0.8625,0.0,0.0,0.0,0.0
ing_00005,"Waffles, buttermilk, frozen, ready-to-heat",agricultural,frozen,USDA SR Legacy Profile (FDC ID: 167516),40.34,59.66,2.81,2730.0,6.58,9.22,2.2,0.279,0.388,0.194,0.621,0.9315,1.5525,0.154,0.326,0.133,0.0
ing_00006,"Waffle, buttermilk, frozen, ready-to-heat, toasted",agricultural,frozen,USDA SR Legacy Profile (FDC ID: 167517),31.57,68.43,3.13,3090.0,7.42,9.49,2.6,0.299,0.444,0.222,0.71,1.065,1.775,0.172,0.362,0.148,0.0
ing_00007,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",agricultural,frozen,USDA SR Legacy Profile (FDC ID: 167518),36.48,63.52,3.04,2890.0,6.92,9.4,2.4,0.125,0.41,0.205,0.663,0.9945,1.6575,0.0,0.0,0.0,0.0
ing_00008,"Waffle, plain, frozen, ready-to-heat, microwave",agricultural,frozen,USDA SR Legacy Profile (FDC ID: 167519),34.95,65.05,3.02,2980.0,6.71,9.91,2.4,0.197,0.41,0.205,0.682,1.023,1.705,0.0,0.0,0.0,0.0
ing_00009,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167520),4.37,95.63,1.39,5010.0,5.1,24.83,1.9,0.029,0.117,0.0585,0.471,0.7065,1.1775,0.0,0.0,0.0,0.0
ing_00010,"Pie Crust, Cookie-type, Chocolate, Ready Crust",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167521),4.99,95.01,2.03,4840.0,6.08,22.42,2.7,0.032,0.12,0.06,0.503,0.7545,1.2575,0.108,0.316,0.073,0.0
